ParamŠtres;Sym.;Unit‚;R‚sultats ;;Niveau souhaitable;Appr‚ciation;;;;
;;;;;;;;;;
ELEMENTS MAJEURS;;;;;;;;;;
Azote total;NTK;% MS;8;;3 - 5;;;IIIIIIIIIIIIIIIIIIIIIIIIIIIIII;;TrŠs ‚lev‚
Phosphore;PT;% MS;0,3;;0,25 - 0,4;;IIIIII;;;correct
Potassium;K;% MS;1,54;;1 - 1,8;;;IIIII;;correct
Magn‚sium;Mg;% MS;0,32;;0,3 - 0,6;;IIIIIIIIIIIIII;;;correct
Calcium;Ca;% MS;1,65;;1,2 - 2,8;;IIIIIIIIIIII;;;correct
ELEMENTS NEFASTES;;;;;;;;;;
Sodium;Na;% MS;0,08;;0 - 0,1;II;;;;
Chlorure;Cl;% MS;0,111580277;;0 - 0,8;II;;;;
OLIGO-ELEMENTS;;;;;;;;;;
Zinc;Zn;mg/kg MS;38,84;;35 - 60;;IIIIIIIIIIIII;;;correct
Cuivre;Cu;mg/kg MS;162,82;;8 - 20;;;IIIIIIIIIIIIIIIIIIIIIIIIIIIIII;;Elev‚
ManganŠse;Mn;mg/kg MS;46,65;;30 - 200;;IIIIIIIIIIIIII;;;correct
Fer;Fe;mg/kg MS;94,19;;110 - 250;;IIIIIIIIIIIIIIIII;;;Faible
Bore;B;mg/kg MS;135,69;;30 - 200;;;IIIIIIIIII;;correct
EQUILIBRES NUTRITIONNELS;;;;;;;;;;
N/P;;-;26,66666667;;12,30769231;;;IIIIIIIIIIIIIIIIIIIIIIIIIIIIII;;Elev‚
N/K;;-;5,194805195;;2,857142857;;;IIIIIIIIIIIIIIIIIIIIIIIIIIIIII;;Elev‚
N/Ca;;-;4,848484848;;2;;;IIIIIIIIIIIIIIIIIIIIIIIIIIIIII;;Elev‚
Ca/P;;-;5,5;;6,153846154;;IIIIIII;;;correct
K/Mg;;-;4,8125;;3,111111111;;;IIIIIIIIIIIIIIIIIIIIIIIIIIIIII;;Elev‚
K/Ca;;-;0,933333333;;0,7;;;IIIIIIIIIIIIIIIIIIIIIIIIIIIIII;;Elev‚
Ca/Mg;;-;5,15625;;4,444444444;;;IIIIIIIIIIIIIIIIIIIIIIIIII;;Elev‚
COMMENTAIRES :;;;;;;;;;;
*Teneur trŠs soutenue en azote, accentu‚e par le moindre niveau en calcium. Cela traduit un retard v‚g‚tatif ou une disponibilit‚ trop soutenue en azote. Ne pas accentuer les apports azot‚s ou hydrique sur cette parcelle.;;;;;;;;;;
*Teneur correcte en phosphore, mais en ‚quilibre d‚favorable par rapport … l'azote. Maintenir une disponibilit‚ suffisante en phosphore et v‚rifier le fonctionnement du sol et l'‚quilibre N / P2O5 de la fertilisation.;;;;;;;;;;
*Teneur correcte en potassium mais trop faible par rapport … l'azote. Contr“ler l'‚quilibre N / K2O de la fertilisation et du sol.;;;;;;;;;;
